"age_min","age_max","M","F","pM","pF"
65,69,25665,22089,0.0143128902547551,0.010971397352892
70,74,13780,16327,0.00887176424160707,0.00903881904043749
75,79,20325,36015,0.0218880773069931,0.0308307197704555
80,84,31349,78754,0.0425354700482215,0.0729567370502125
85,89,39962,136859,0.0853929337329174,0.161915495760642
90,94,31694,135898,0.164222377209811,0.293769453411967
95,110,9474,54263,0.178072441045585,0.301788001777317
