"age_min","age_max","M","F","pM","pF"
65,69,3938,3390,0.0184743771335831,0.0150885755775908
70,74,2114,2505,0.0106503242216197,0.0115616944114727
75,79,3119,5526,0.021521434538415,0.0321566608041951
80,84,4810,12084,0.0512017462934316,0.09571231415794
85,89,6132,21000,0.113814655397642,0.239860217555875
90,94,4863,20853,0.239638015324178,0.448439208829609
95,110,1454,8326,0.283589165596944,0.552259179422141
