"Age","M","F","pM","pF"
"65-69",2506.73017374989,2157.51110337798,0.0144135363467779,0.0114032753705212
"70-74",1345.89539530195,1594.68211988807,0.00833299525305517,0.00869572063389483
"75-79",1985.19570807038,3517.68114681192,0.0212896469384579,0.0297954544414491
"80-84",3061.91202431194,7691.9961076954,0.0494040051036988,0.0830202921436709
"85-89",3903.09664637566,13367.1883578853,0.118333029540858,0.218318226267154
"90-94",3095.55940919449,13273.3835273036,0.250632289627924,0.417585840536829
"95+",925.303084270092,5299.97292786329,0.355066417601724,0.532393061563364
