"Age","M","F","pM","pF"
"65-69",2744.57310031112,2362.21951607009,0.0131394100004841,0.0101723344934549
"70-74",1473.59629546906,1745.98833796485,0.00777274729260783,0.00782505260641807
"75-79",2173.55453581686,3851.44486315776,0.0131102082490416,0.01822228938989
"80-84",3352.4315721921,8421.82610077164,0.0329876073503311,0.0577589061159841
"85-89",4273.42925686026,14635.4904799995,0.0844734874549855,0.16533354209735
"90-94",3389.27147957883,14532.7852836486,0.165831856325415,0.29520181360245
"95+",1013.09745313498,5802.84359382436,0.227406835720533,0.350032790072648
