"Age","M","F","pM","pF"
"65-69",3028.82879567499,2606.87481458137,0.0107277836459348,0.00777139267117222
"70-74",1626.21680304698,1926.82051512536,0.00657182092375917,0.00625016791430393
"75-79",2398.66978449429,4250.33937160005,0.0128650872334071,0.0166454119962719
"80-84",3699.64322693187,9294.07542589878,0.0270196841089354,0.0441123513861474
"85-89",4716.02872883623,16151.2896120802,0.0615830338056442,0.11427341082136
"90-94",3740.29864700805,16037.9472288375,0.155218435780722,0.275495099696599
"95+",1118.0240520948,6403.84465321075,0.188441606623091,0.370828921953254
